site	rank	zr_atom_index	distance_a	within_2p5_a
T	1	40	2.01771873	yes
T	2	34	2.01771888	yes
T	3	10	2.01817150	yes
T	4	33	2.04224409	yes
T	5	35	3.24341867	no
T	6	3	3.78690377	no
T	7	9	3.78690381	no
T	8	16	3.78934986	no
T	9	4	3.78934992	no
T	10	39	3.78944409	no
T	11	27	3.78944412	no
T	12	64	3.79100311	no
T	13	63	3.79102517	no
T	14	57	3.79102525	no
T	15	41	4.56207977	no
T	16	29	4.56207978	no
T	17	65	4.56517473	no
T	18	59	4.56517480	no
T	19	5	4.56533064	no
T	20	11	4.56533069	no
T	21	8	4.93281082	no
T	22	32	4.93321007	no
T	23	38	4.93321010	no
T	24	82	4.98829846	no
T	25	76	4.98829849	no
T	26	70	4.98945006	no
T	27	58	4.98945008	no
T	28	46	4.99030007	no
T	29	28	4.99030019	no
T	30	62	5.87578708	no
T	31	14	5.87633350	no
T	32	2	5.87633360	no
T	33	15	5.93334783	no
T	34	21	5.93334787	no
T	35	87	5.93572361	no
T	36	75	5.93929062	no
T	37	69	5.94428529	no
T	38	51	5.94428534	no
T	39	12	6.08555563	no
T	40	36	6.08883775	no
T	41	42	6.08883776	no
T	42	77	6.44856086	no
T	43	71	6.44877746	no
T	44	53	6.44877753	no
T	45	17	6.45392092	no
T	46	23	6.45392100	no
T	47	89	6.45462185	no
T	48	68	6.71859182	no
T	49	56	6.71859185	no
T	50	80	6.71893549	no
T	51	74	6.71893554	no
T	52	26	6.72089145	no
T	53	44	6.72089148	no
T	54	81	6.76035331	no
T	55	93	6.76035340	no
T	56	88	6.76047878	no
T	57	94	6.76047881	no
T	58	22	6.76063321	no
T	59	45	6.76139814	no
T	60	18	6.88988597	no
T	61	6	6.88988600	no
T	62	66	6.89020198	no
T	63	31	7.13454855	no
T	64	83	7.21860055	no
T	65	95	7.21860063	no
T	66	47	7.21950503	no
T	67	52	7.49277619	no
T	68	84	7.61160967	no
T	69	78	7.61160978	no
T	70	72	7.61165966	no
T	71	60	7.61165968	no
T	72	48	7.61189802	no
T	73	30	7.61189808	no
T	74	37	7.82992865	no
T	75	25	7.82992867	no
T	76	7	7.83108576	no
T	77	1	7.83108581	no
T	78	55	7.83202464	no
T	79	61	7.83202467	no
T	80	20	8.12294442	no
T	81	86	8.12308477	no
T	82	92	8.12308488	no
T	83	50	8.74301051	no
T	84	90	8.87713665	no
T	85	96	8.87713675	no
T	86	24	8.87831603	no
T	87	13	9.06335267	no
T	88	19	9.06335271	no
T	89	85	9.06556349	no
T	90	73	9.06599074	no
T	91	67	9.06777640	no
T	92	49	9.06777642	no
T	93	54	9.44551890	no
T	94	79	9.62897761	no
T	95	91	9.62897774	no
T	96	43	9.62984544	no
O	1	63	2.29654980	yes
O	2	33	2.29654982	yes
O	3	57	2.29654986	yes
O	4	40	2.29655465	yes
O	5	34	2.29655466	yes
O	6	64	2.29655468	yes
O	7	39	3.96585159	no
O	8	27	3.96585174	no
O	9	87	3.96585176	no
O	10	70	3.96585484	no
O	11	10	3.96585491	no
O	12	58	3.96585499	no
O	13	35	4.29513796	no
O	14	65	4.29513798	no
O	15	59	4.29513799	no
O	16	38	4.29515050	no
O	17	32	4.29515058	no
O	18	62	4.29515060	no
O	19	4	5.10467586	no
O	20	94	5.10467587	no
O	21	16	5.10467592	no
O	22	46	5.10467598	no
O	23	88	5.10467602	no
O	24	28	5.10467604	no
O	25	3	5.10467632	no
O	26	93	5.10467634	no
O	27	9	5.10467639	no
O	28	69	5.10467639	no
O	29	51	5.10467641	no
O	30	81	5.10467645	no
O	31	89	5.38787020	no
O	32	29	5.38787022	no
O	33	41	5.38787023	no
O	34	68	5.38788045	no
O	35	56	5.38788048	no
O	36	8	5.38788053	no
O	37	5	6.28305797	no
O	38	53	6.28305805	no
O	39	11	6.28305811	no
O	40	95	6.28305812	no
O	41	83	6.28305813	no
O	42	71	6.28305821	no
O	43	14	6.28306681	no
O	44	44	6.28306682	no
O	45	86	6.28306687	no
O	46	2	6.28306688	no
O	47	26	6.28306689	no
O	48	92	6.28306692	no
O	49	36	6.72037791	no
O	50	42	6.72037794	no
O	51	66	6.72037797	no
O	52	31	6.72040848	no
O	53	55	6.72040851	no
O	54	61	6.72040864	no
O	55	21	6.85318141	no
O	56	45	6.85318146	no
O	57	15	6.85318148	no
O	58	76	6.85318223	no
O	59	52	6.85318226	no
O	60	82	6.85318230	no
O	61	72	7.45646401	no
O	62	60	7.45646403	no
O	63	12	7.45646407	no
O	64	25	7.45649366	no
O	65	85	7.45649366	no
O	66	37	7.45649368	no
O	67	75	7.57978143	no
O	68	22	7.57978225	no
O	69	17	7.77106641	no
O	70	47	7.77106645	no
O	71	23	7.77106650	no
O	72	74	7.77107288	no
O	73	50	7.77107295	no
O	74	80	7.77107296	no
O	75	18	8.13605226	no
O	76	48	8.13605231	no
O	77	90	8.13605233	no
O	78	30	8.13605234	no
O	79	96	8.13605236	no
O	80	6	8.13605239	no
O	81	1	8.13607829	no
O	82	7	8.13607831	no
O	83	79	8.13607832	no
O	84	67	8.13607836	no
O	85	49	8.13607838	no
O	86	91	8.13607845	no
O	87	77	8.41034297	no
O	88	20	8.41034965	no
O	89	54	9.32816250	no
O	90	84	9.32816253	no
O	91	78	9.32816260	no
O	92	13	9.32818609	no
O	93	19	9.32818614	no
O	94	43	9.32818615	no
O	95	24	9.87497228	no
O	96	73	9.87499650	no
