case	ionic_step	e0_ev	delta_e_final_mev	max_force_ev_a	h_displacement_a
T	1	-821.85537000	98.220000	1.09639910	0.00000009
T	2	-821.90949000	44.100000	0.61045503	0.00663198
T	3	-821.93993000	13.660000	0.27277903	0.02081984
T	4	-821.94247000	11.120000	0.17312222	0.01795828
T	5	-821.94696000	6.630000	0.11301022	0.01828761
T	6	-821.95154000	2.050000	0.02644200	0.01899402
T	7	-821.95169000	1.900000	0.03144921	0.01916202
T	8	-821.95253000	1.060000	0.01946469	0.02109365
T	9	-821.95304000	0.550000	0.01616962	0.02391449
T	10	-821.95331000	0.280000	0.01347926	0.02437947
T	11	-821.95342000	0.170000	0.01360637	0.02497128
T	12	-821.95357000	0.020000	0.01327866	0.02503195
T	13	-821.95359000	0.000000	0.00874278	0.02505775
O	1	-821.85967000	31.020000	0.26356005	0.00000000
O	2	-821.87140000	19.290000	0.19289817	0.00000015
O	3	-821.88547000	5.220000	0.04424756	0.00000052
O	4	-821.88721000	3.480000	0.03101659	0.00000038
O	5	-821.88885000	1.840000	0.01562180	0.00000027
O	6	-821.88886000	1.830000	0.01755086	0.00000027
O	7	-821.88954000	1.150000	0.01251802	0.00000052
O	8	-821.88991000	0.780000	0.02220207	0.00000140
O	9	-821.89011000	0.580000	0.01537298	0.00000109
O	10	-821.89050000	0.190000	0.01129682	0.00000109
O	11	-821.89052000	0.170000	0.01047175	0.00000108
O	12	-821.89069000	0.000000	0.00420013	0.00000666
