record	source_zr_index	target_zr_index	value	detail
metric			max_mapping_residual_a	0.000000000000
metric			ideal_h_distance_a	1.291505368765
metric			ideal_h_basal_a	0.000000000000
metric			ideal_h_c_a	1.291505368765
metric			actual_h_distance_a	1.241442502312
metric			actual_h_basal_a	0.000000000000
metric			actual_h_c_a	1.241442502312
metric			zr_endpoint_rms_a	0.016495894040
metric			zr_endpoint_max_a	0.073423432080
metric			t2_neighbor_1_a	2.017718727809
metric			t2_neighbor_4_a	2.042244087967
metric			t2_neighbor_5_a	3.243418674410
zr_mapping	1	1	mapping_residual_a	2.796025043818e-15
zr_mapping	2	6	mapping_residual_a	1.720630796196e-15
zr_mapping	3	5	mapping_residual_a	0.000000000000e+00
zr_mapping	4	4	mapping_residual_a	0.000000000000e+00
zr_mapping	5	3	mapping_residual_a	8.603153980978e-16
zr_mapping	6	2	mapping_residual_a	1.720630796196e-15
zr_mapping	7	7	mapping_residual_a	2.796025043818e-15
zr_mapping	8	12	mapping_residual_a	1.720630796196e-15
zr_mapping	9	11	mapping_residual_a	0.000000000000e+00
zr_mapping	10	10	mapping_residual_a	0.000000000000e+00
zr_mapping	11	9	mapping_residual_a	8.603153980978e-16
zr_mapping	12	8	mapping_residual_a	1.720630796196e-15
zr_mapping	13	13	mapping_residual_a	2.796025043818e-15
zr_mapping	14	18	mapping_residual_a	1.720630796196e-15
zr_mapping	15	17	mapping_residual_a	0.000000000000e+00
zr_mapping	16	16	mapping_residual_a	0.000000000000e+00
zr_mapping	17	15	mapping_residual_a	8.603153980978e-16
zr_mapping	18	14	mapping_residual_a	1.720630796196e-15
zr_mapping	19	19	mapping_residual_a	2.796025043818e-15
zr_mapping	20	24	mapping_residual_a	1.720630796196e-15
zr_mapping	21	23	mapping_residual_a	0.000000000000e+00
zr_mapping	22	22	mapping_residual_a	0.000000000000e+00
zr_mapping	23	21	mapping_residual_a	8.603153980978e-16
zr_mapping	24	20	mapping_residual_a	1.720630796196e-15
