path	stage	stage_kind	stage_iteration	global_iteration	max_projected_force_ev_a	rms_projected_force_ev_a	force_limit_ev_a
TT_c	01_tt_c	pre_neb	1	1	0.64091500	0.09547089	0.10000000
TT_c	01_tt_c	pre_neb	2	2	0.56703100	0.08572874	0.10000000
TT_c	01_tt_c	pre_neb	3	3	0.50320100	0.07753169	0.10000000
TT_c	01_tt_c	pre_neb	4	4	0.45130000	0.07030691	0.10000000
TT_c	01_tt_c	pre_neb	5	5	0.40266800	0.06441919	0.10000000
TT_c	01_tt_c	pre_neb	6	6	0.36162900	0.05902908	0.10000000
TT_c	01_tt_c	pre_neb	7	7	0.32502000	0.05417257	0.10000000
TT_c	01_tt_c	pre_neb	8	8	0.29524400	0.05026242	0.10000000
TT_c	01_tt_c	pre_neb	9	9	0.26711500	0.04645957	0.10000000
TT_c	01_tt_c	pre_neb	10	10	0.24193900	0.04328500	0.10000000
TT_c	01_tt_c	pre_neb	11	11	0.22397500	0.04054246	0.10000000
TT_c	01_tt_c	pre_neb	12	12	0.20140900	0.03761254	0.10000000
TT_c	01_tt_c	pre_neb	13	13	0.18635900	0.03546614	0.10000000
TT_c	01_tt_c	pre_neb	14	14	0.16679100	0.03308446	0.10000000
TT_c	01_tt_c	pre_neb	15	15	0.15257100	0.03113835	0.10000000
TT_c	01_tt_c	pre_neb	16	16	0.14093400	0.02974463	0.10000000
TT_c	01_tt_c	pre_neb	17	17	0.13441700	0.02838062	0.10000000
TT_c	01_tt_c	pre_neb	18	18	0.13335700	0.02716477	0.10000000
TT_c	01_tt_c	pre_neb	19	19	0.13333100	0.02578181	0.10000000
TT_c	01_tt_c	pre_neb	20	20	0.12892700	0.02465505	0.10000000
TT_c	01_tt_c	pre_neb	21	21	0.12877200	0.02372241	0.10000000
TT_c	01_tt_c	pre_neb	22	22	0.12284800	0.02275466	0.10000000
TT_c	01_tt_c	pre_neb	23	23	0.11810800	0.02185954	0.10000000
TT_c	01_tt_c	pre_neb	24	24	0.11251700	0.02090883	0.10000000
TT_c	01_tt_c	pre_neb	25	25	0.10943300	0.02019319	0.10000000
TT_c	01_tt_c	pre_neb	26	26	0.10530400	0.01939867	0.10000000
TT_c	01_tt_c	pre_neb	27	27	0.10247000	0.01869012	0.10000000
TT_c	01_tt_c	pre_neb	28	28	0.10144800	0.01813717	0.10000000
TT_c	01_tt_c	pre_neb	29	29	0.09423400	0.01724944	0.10000000
TT_c	ci_01	ci_neb	1	30	0.19678400	0.01994498	0.03000000
TT_c	ci_01	ci_neb	2	31	0.19413700	0.01934132	0.03000000
TT_c	ci_01	ci_neb	3	32	0.19080600	0.01869663	0.03000000
TT_c	ci_01	ci_neb	4	33	0.18816700	0.01827402	0.03000000
TT_c	ci_01	ci_neb	5	34	0.18534000	0.01789376	0.03000000
TT_c	ci_01	ci_neb	6	35	0.18347500	0.01743935	0.03000000
TT_c	ci_01	ci_neb	7	36	0.17985400	0.01704260	0.03000000
TT_c	ci_01	ci_neb	8	37	0.17692900	0.01666625	0.03000000
TT_c	ci_01	ci_neb	9	38	0.17387600	0.01633826	0.03000000
TT_c	ci_01	ci_neb	10	39	0.17125400	0.01608343	0.03000000
TT_c	ci_01	ci_neb	11	40	0.16837700	0.01579681	0.03000000
TT_c	ci_01	ci_neb	12	41	0.16635700	0.01550631	0.03000000
TT_c	ci_01	ci_neb	13	42	0.16353400	0.01528027	0.03000000
TT_c	ci_01	ci_neb	14	43	0.16135000	0.01508145	0.03000000
TT_c	ci_01	ci_neb	15	44	0.15896100	0.01485971	0.03000000
TT_c	ci_01	ci_neb	16	45	0.15666500	0.01465870	0.03000000
TT_c	ci_01	ci_neb	17	46	0.15413900	0.01452714	0.03000000
TT_c	ci_01	ci_neb	18	47	0.15187500	0.01426591	0.03000000
TT_c	ci_01	ci_neb	19	48	0.14971000	0.01404359	0.03000000
TT_c	ci_01	ci_neb	20	49	0.14743700	0.01380421	0.03000000
TT_c	ci_01	ci_neb	21	50	0.14503800	0.01364901	0.03000000
TT_c	ci_01	ci_neb	22	51	0.14263800	0.01357931	0.03000000
TT_c	ci_01	ci_neb	23	52	0.14209200	0.01339894	0.03000000
TT_c	ci_01	ci_neb	24	53	0.13989000	0.01317280	0.03000000
TT_c	ci_01	ci_neb	25	54	0.13775600	0.01297301	0.03000000
TT_c	ci_01	ci_neb	26	55	0.13610800	0.01270181	0.03000000
TT_c	ci_01	ci_neb	27	56	0.13387500	0.01258547	0.03000000
TT_c	ci_01	ci_neb	28	57	0.13157700	0.01235476	0.03000000
TT_c	ci_01	ci_neb	29	58	0.12938300	0.01218690	0.03000000
TT_c	ci_01	ci_neb	30	59	0.12825900	0.01195601	0.03000000
TT_c	ci_01	ci_neb	31	60	0.12582500	0.01182481	0.03000000
TT_c	ci_01	ci_neb	32	61	0.12355000	0.01163552	0.03000000
TT_c	ci_01	ci_neb	33	62	0.12147700	0.01147488	0.03000000
TT_c	ci_01	ci_neb	34	63	0.11976600	0.01128984	0.03000000
TT_c	ci_01	ci_neb	35	64	0.11741200	0.01115369	0.03000000
TT_c	ci_01	ci_neb	36	65	0.11597700	0.01103352	0.03000000
TT_c	ci_01	ci_neb	37	66	0.11456100	0.01097569	0.03000000
TT_c	ci_01	ci_neb	38	67	0.11249900	0.01081056	0.03000000
TT_c	ci_01	ci_neb	39	68	0.11074700	0.01065514	0.03000000
TT_c	ci_01	ci_neb	40	69	0.10890500	0.01047664	0.03000000
TT_c	ci_01	ci_neb	41	70	0.10678200	0.01030282	0.03000000
TT_c	ci_01	ci_neb	42	71	0.10567300	0.01021939	0.03000000
TT_c	ci_01	ci_neb	43	72	0.10423200	0.00998894	0.03000000
TT_c	ci_01	ci_neb	44	73	0.10292400	0.00986553	0.03000000
TT_c	ci_01	ci_neb	45	74	0.10142000	0.00974886	0.03000000
TT_c	ci_01	ci_neb	46	75	0.10020300	0.00963190	0.03000000
TT_c	ci_01	ci_neb	47	76	0.09898700	0.00948299	0.03000000
TT_c	ci_01	ci_neb	48	77	0.09769700	0.00929797	0.03000000
TT_c	ci_01	ci_neb	49	78	0.09640900	0.00913752	0.03000000
TT_c	ci_01	ci_neb	50	79	0.09504300	0.00898841	0.03000000
TT_c	ci_01	ci_neb	51	80	0.09365800	0.00882746	0.03000000
TT_c	ci_01	ci_neb	52	81	0.09208700	0.00872019	0.03000000
TT_c	ci_01	ci_neb	53	82	0.09076700	0.00859721	0.03000000
TT_c	ci_01	ci_neb	54	83	0.08896200	0.00846355	0.03000000
TT_c	ci_01	ci_neb	55	84	0.08772100	0.00831642	0.03000000
TT_c	ci_01	ci_neb	56	85	0.08636900	0.00814108	0.03000000
TT_c	ci_01	ci_neb	57	86	0.08521400	0.00799160	0.03000000
TT_c	ci_01	ci_neb	58	87	0.08361100	0.00786879	0.03000000
TT_c	ci_01	ci_neb	59	88	0.08258200	0.00774885	0.03000000
TT_c	ci_01	ci_neb	60	89	0.08132200	0.00760846	0.03000000
TT_c	ci_01	ci_neb	61	90	0.07945900	0.00747306	0.03000000
TT_c	ci_01	ci_neb	62	91	0.07842700	0.00733275	0.03000000
TT_c	ci_01	ci_neb	63	92	0.07742700	0.00722042	0.03000000
TT_c	ci_01	ci_neb	64	93	0.07631400	0.00711823	0.03000000
TT_c	ci_01	ci_neb	65	94	0.07521800	0.00701277	0.03000000
TT_c	ci_01	ci_neb	66	95	0.07436600	0.00690004	0.03000000
TT_c	ci_01	ci_neb	67	96	0.07325500	0.00679877	0.03000000
TT_c	ci_01	ci_neb	68	97	0.07171500	0.00669628	0.03000000
TT_c	ci_01	ci_neb	69	98	0.07030300	0.00665560	0.03000000
TT_c	ci_01	ci_neb	70	99	0.06920700	0.00652301	0.03000000
TT_c	ci_01	ci_neb	71	100	0.06799500	0.00643659	0.03000000
TT_c	ci_01	ci_neb	72	101	0.06724600	0.00635398	0.03000000
TT_c	ci_01	ci_neb	73	102	0.06610400	0.00623768	0.03000000
TT_c	ci_01	ci_neb	74	103	0.06491400	0.00616929	0.03000000
TT_c	ci_01	ci_neb	75	104	0.06410000	0.00608754	0.03000000
TT_c	ci_01	ci_neb	76	105	0.06294800	0.00598855	0.03000000
TT_c	ci_01	ci_neb	77	106	0.06215200	0.00590476	0.03000000
TT_c	ci_01	ci_neb	78	107	0.06110900	0.00582838	0.03000000
TT_c	ci_01	ci_neb	79	108	0.06001200	0.00576097	0.03000000
TT_c	ci_01	ci_neb	80	109	0.05942900	0.00567084	0.03000000
TT_c	ci_01	ci_neb	81	110	0.05883700	0.00558796	0.03000000
TT_c	ci_01	ci_neb	82	111	0.05782000	0.00550120	0.03000000
TT_c	ci_01	ci_neb	83	112	0.05673300	0.00544140	0.03000000
TT_c	ci_01	ci_neb	84	113	0.05488000	0.00535987	0.03000000
TT_c	ci_01	ci_neb	85	114	0.05353500	0.00528679	0.03000000
TT_c	ci_01	ci_neb	86	115	0.05261300	0.00523549	0.03000000
TT_c	ci_01	ci_neb	87	116	0.05202000	0.00513362	0.03000000
TT_c	ci_01	ci_neb	88	117	0.05132900	0.00505374	0.03000000
TT_c	ci_01	ci_neb	89	118	0.05063000	0.00503114	0.03000000
TT_c	ci_01	ci_neb	90	119	0.04985800	0.00493654	0.03000000
TT_c	ci_01	ci_neb	91	120	0.04925900	0.00490725	0.03000000
TT_c	ci_01	ci_neb	92	121	0.04883600	0.00480030	0.03000000
TT_c	ci_01	ci_neb	93	122	0.04784200	0.00476157	0.03000000
TT_c	ci_01	ci_neb	94	123	0.04701300	0.00469623	0.03000000
TT_c	ci_01	ci_neb	95	124	0.04613600	0.00462550	0.03000000
TT_c	ci_01	ci_neb	96	125	0.04569900	0.00461572	0.03000000
TT_c	ci_01	ci_neb	97	126	0.04515000	0.00451826	0.03000000
TT_c	ci_01	ci_neb	98	127	0.04412600	0.00442792	0.03000000
TT_c	ci_01	ci_neb	99	128	0.04354700	0.00434590	0.03000000
TT_c	ci_01	ci_neb	100	129	0.04281900	0.00428821	0.03000000
TT_c	ci_01	ci_neb	101	130	0.04229200	0.00420037	0.03000000
TT_c	ci_01	ci_neb	102	131	0.04166200	0.00414160	0.03000000
TT_c	ci_01	ci_neb	103	132	0.04082800	0.00408476	0.03000000
TT_c	ci_01	ci_neb	104	133	0.04004700	0.00406612	0.03000000
TT_c	ci_01	ci_neb	105	134	0.03920200	0.00401763	0.03000000
TT_c	ci_01	ci_neb	106	135	0.03885300	0.00394630	0.03000000
TT_c	ci_01	ci_neb	107	136	0.03855800	0.00389850	0.03000000
