path	image	reaction_coordinate_a	neighbor_rank	zr_h_distance_a	is_within_2p5a	is_saddle
TT_c	00	0.00000000	1	2.01771873	yes	no
TT_c	00	0.00000000	2	2.01771888	yes	no
TT_c	00	0.00000000	3	2.01817150	yes	no
TT_c	00	0.00000000	4	2.04224409	yes	no
TT_c	00	0.00000000	5	3.24341867	no	no
TT_c	00	0.00000000	6	3.78690377	no	no
TT_c	01	0.19740918	1	2.00525518	yes	no
TT_c	01	0.19740918	2	2.00559916	yes	no
TT_c	01	0.19740918	3	2.00559917	yes	no
TT_c	01	0.19740918	4	2.16616516	yes	no
TT_c	01	0.19740918	5	3.05637514	no	no
TT_c	01	0.19740918	6	3.75100792	no	no
TT_c	02	0.41978410	1	1.98952073	yes	no
TT_c	02	0.41978410	2	1.98956882	yes	no
TT_c	02	0.41978410	3	1.98956884	yes	no
TT_c	02	0.41978410	4	2.37881398	yes	no
TT_c	02	0.41978410	5	2.81990374	no	no
TT_c	02	0.41978410	6	3.72643975	no	no
TT_c	03	0.63962108	1	1.98330676	yes	yes
TT_c	03	0.63962108	2	1.98355417	yes	yes
TT_c	03	0.63962108	3	1.98355418	yes	yes
TT_c	03	0.63962108	4	2.57767289	no	yes
TT_c	03	0.63962108	5	2.62083110	no	yes
TT_c	03	0.63962108	6	3.71969328	no	yes
TT_c	04	0.95700472	1	1.99745645	yes	no
TT_c	04	0.95700472	2	1.99801106	yes	no
TT_c	04	0.95700472	3	1.99801107	yes	no
TT_c	04	0.95700472	4	2.24544984	yes	no
TT_c	04	0.95700472	5	2.96561463	no	no
TT_c	04	0.95700472	6	3.73957656	no	no
TT_c	05	1.24145558	1	2.01771873	yes	no
TT_c	05	1.24145558	2	2.01771888	yes	no
TT_c	05	1.24145558	3	2.01817150	yes	no
TT_c	05	1.24145558	4	2.04224409	yes	no
TT_c	05	1.24145558	5	3.24341867	no	no
TT_c	05	1.24145558	6	3.78690377	no	no
TO	00	0.00000000	1	2.01771873	yes	no
TO	00	0.00000000	2	2.01771888	yes	no
TO	00	0.00000000	3	2.01817150	yes	no
TO	00	0.00000000	4	2.04224409	yes	no
TO	00	0.00000000	5	3.24341867	no	no
TO	00	0.00000000	6	3.78690377	no	no
TO	01	0.44621548	1	1.95340040	yes	no
TO	01	0.44621548	2	1.95599013	yes	no
TO	01	0.44621548	3	1.95599026	yes	no
TO	01	0.44621548	4	2.36747292	yes	no
TO	01	0.44621548	5	3.42142756	no	no
TO	01	0.44621548	6	3.42142797	no	no
TO	02	0.90471537	1	1.93234117	yes	yes
TO	02	0.90471537	2	1.94420242	yes	yes
TO	02	0.90471537	3	1.94420277	yes	yes
TO	02	0.90471537	4	2.90734532	no	yes
TO	02	0.90471537	5	3.04933687	no	yes
TO	02	0.90471537	6	3.04934103	no	yes
TO	03	1.26381737	1	1.98839326	yes	no
TO	03	1.26381737	2	2.00741503	yes	no
TO	03	1.26381737	3	2.00741528	yes	no
TO	03	1.26381737	4	2.76327055	no	no
TO	03	1.26381737	5	2.76327124	no	no
TO	03	1.26381737	6	2.87461618	no	no
TO	04	1.62921445	1	2.11323629	yes	no
TO	04	1.62921445	2	2.13654838	yes	no
TO	04	1.62921445	3	2.13654856	yes	no
TO	04	1.62921445	4	2.48917775	yes	no
TO	04	1.62921445	5	2.48917821	yes	no
TO	04	1.62921445	6	2.59305669	no	no
TO	05	1.98999879	1	2.29654980	yes	no
TO	05	1.98999879	2	2.29654982	yes	no
TO	05	1.98999879	3	2.29654986	yes	no
TO	05	1.98999879	4	2.29655465	yes	no
TO	05	1.98999879	5	2.29655466	yes	no
TO	05	1.98999879	6	2.29655468	yes	no
