path	image	is_saddle	reaction_coordinate_a	e0_ev	relative_to_t_ev	final_projected_force_ev_a	final_projected_rms_ev_a	h_step_a	h_step_basal_a	h_step_c_a	full_rss_step_a	host_rss_step_a	host_rms_step_a	host_max_step_a	minimum_pair_a	coordination_2p5a	zr_h_1_a	zr_h_2_a	zr_h_3_a	zr_h_4_a	zr_h_5_a	zr_h_6_a
TT_c	00	no	0.00000000	-821.9535947800	0.0000000000			0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	2.01771873	4	2.01771873	2.01771888	2.01817150	2.04224409	3.24341867	3.78690377
TT_c	01	no	0.19740918	-821.9228113500	0.0307834300	0.01755000	0.00246400	0.19740918	0.00134615	0.19740459	0.23568825	0.12875779	0.01314129	0.07350140	2.00525518	4	2.00525518	2.00559916	2.00559917	2.16616516	3.05637514	3.75100792
TT_c	02	no	0.41978410	-821.8543161400	0.0992786400	0.02938400	0.00322400	0.22237492	0.00004338	0.22237491	0.23187710	0.06569920	0.00670540	0.03150901	1.98952073	4	1.98952073	1.98956882	1.98956884	2.37881398	2.81990374	3.72643975
TT_c	03	yes	0.63962108	-821.8244047400	0.1291900400	0.02975300	0.00343400	0.21983698	0.00076957	0.21983564	0.22588861	0.05193618	0.00530071	0.02239666	1.98330676	3	1.98330676	1.98355417	1.98355418	2.57767289	2.62083110	3.71969328
TT_c	04	no	0.95700472	-821.8961500300	0.0574447500	0.01560400	0.00248700	0.31738363	0.00005759	0.31738363	0.32527518	0.07121495	0.00726835	0.03205825	1.99745645	4	1.99745645	1.99801106	1.99801107	2.24544984	2.96561463	3.73957656
TT_c	05	no	1.24145558	-821.9535947800	0.0000000000			0.28445087	0.00201475	0.28444373	0.32217718	0.15128066	0.01544002	0.08124799	2.01771873	4	2.01771873	2.01771888	2.01817150	2.04224409	3.24341867	3.78690377
TO	00	no	0.00000000	-821.9535947800	0.0000000000			0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	2.01771873	4	2.01771873	2.01771888	2.01817150	2.04224409	3.24341867	3.78690377
TO	01	no	0.44621548	-821.7338167300	0.2197780500	0.01386300	0.00304100	0.44621548	0.40746640	-0.18187739	0.47469081	0.16193552	0.01652748	0.09684961	1.95340040	4	1.95340040	1.95599013	1.95599026	2.36747292	3.42142756	3.42142797
TO	02	yes	0.90471537	-821.5285705800	0.4250242000	0.02392800	0.00353400	0.45849990	0.42578083	-0.17009655	0.47689978	0.13119163	0.01338969	0.08168576	1.93234117	3	1.93234117	1.94420242	1.94420277	2.90734532	3.04933687	3.04934103
TO	03	no	1.26381737	-821.6131391400	0.3404556400	0.02960000	0.00439300	0.35910200	0.33559925	-0.12777867	0.36866614	0.08342950	0.00851499	0.04567555	1.98839326	3	1.98839326	2.00741503	2.00741528	2.76327055	2.76327124	2.87461618
TO	04	no	1.62921445	-821.7941373200	0.1594574600	0.02718000	0.00467600	0.36539708	0.34691681	-0.11473341	0.37366449	0.07816728	0.00797792	0.03857280	2.11323629	5	2.11323629	2.13654838	2.13654856	2.48917775	2.48917821	2.59305669
TO	05	no	1.98999879	-821.8906907800	0.0629040000			0.36078434	0.35262582	-0.07629139	0.37723002	0.11016870	0.01124405	0.05354619	2.29654980	6	2.29654980	2.29654982	2.29654986	2.29655465	2.29655466	2.29655468
