path	image	reaction_coordinate_a	e0_ev	relative_to_t_ev
TT_c	00	0.00000000	-821.9535947800	0.0000000000
TT_c	01	0.19740918	-821.9228113500	0.0307834300
TT_c	02	0.41978410	-821.8543161400	0.0992786400
TT_c	03	0.63962108	-821.8244047400	0.1291900400
TT_c	04	0.95700472	-821.8961500300	0.0574447500
TT_c	05	1.24145558	-821.9535947800	0.0000000000
TO	00	0.00000000	-821.9535947800	0.0000000000
TO	01	0.44621548	-821.7338167300	0.2197780500
TO	02	0.90471537	-821.5285705800	0.4250242000
TO	03	1.26381737	-821.6131391400	0.3404556400
TO	04	1.62921445	-821.7941373200	0.1594574600
TO	05	1.98999879	-821.8906907800	0.0629040000
