path	image	h_step_a	h_cumulative_a	h_step_basal_a	h_step_c_a	minimum_pair_a
TT_c	00	0.00000000	0.00000000	0.00000000	0.00000000	2.01771873
TT_c	01	0.19740918	0.19740918	0.00134615	0.19740459	2.00525518
TT_c	02	0.22237492	0.41978410	0.00004338	0.22237491	1.98952073
TT_c	03	0.21983698	0.63962108	0.00076957	0.21983564	1.98330676
TT_c	04	0.31738363	0.95700472	0.00005759	0.31738363	1.99745645
TT_c	05	0.28445087	1.24145558	0.00201475	0.28444373	2.01771873
TO	00	0.00000000	0.00000000	0.00000000	0.00000000	2.01771873
TO	01	0.44621548	0.44621548	0.40746640	-0.18187739	1.95340040
TO	02	0.45849990	0.90471537	0.42578083	-0.17009655	1.93234117
TO	03	0.35910200	1.26381737	0.33559925	-0.12777867	1.98839326
TO	04	0.36539708	1.62921445	0.34691681	-0.11473341	2.11323629
TO	05	0.36078434	1.98999879	0.35262582	-0.07629139	2.29654980
